time,green_wet,green_semiwet,green_dro,green_semidro,blue_wet,blue_semiwet,blue_dro,blue_semidro,coef_wet,coef_semiwet,coef_dro,coef_semidro,prcp_wet,prcp_semiwet,prcp_dro,prcp_semidro
1983-12-31,666.50543,406.4276,70.30426,208.98415,819.5201,148.60143,8.148954,39.81106,0.4800901,0.75459146,0.9225558,0.8609146,1495.345,554.7,78.46977,249.16103
1984-12-31,618.89886,397.7715,67.30843,194.34259,650.08575,160.92639,9.829435,45.924454,0.5081935,0.7304948,0.91498995,0.8527283,1275.0544,559.01447,77.13433,240.70744
1985-12-31,654.2779,412.79953,61.7023,219.38356,620.96466,178.76575,6.929404,49.516827,0.5305101,0.71351784,0.92724794,0.84280854,1286.5789,593.44415,68.61928,269.45087
1986-12-31,622.3912,344.45673,63.073677,189.8808,568.87366,140.89722,7.094359,44.452454,0.5434263,0.73549074,0.92938733,0.84064853,1198.1075,485.97015,70.15935,234.40701
1987-12-31,673.9901,403.20667,83.25842,195.37988,625.5343,146.48563,10.427145,43.80642,0.53723013,0.7537425,0.91088766,0.85138166,1304.1266,550.7941,93.70111,239.39778
1988-12-31,602.08624,395.8092,83.70129,208.17279,596.0513,163.24287,11.591151,47.257996,0.5325196,0.7214183,0.90517443,0.8393225,1204.2151,559.0297,95.3064,256.20322
1989-12-31,641.4737,379.1314,66.22036,202.80153,623.4533,136.87604,6.650147,38.382595,0.53873456,0.747288,0.9267591,0.85819906,1268.603,515.9064,72.870155,241.99185
1990-12-31,681.7259,443.4801,71.5257,217.91055,668.2885,155.61514,10.306629,53.44138,0.5240292,0.7532168,0.9120136,0.84162563,1363.1798,600.5967,81.84486,271.63177
1991-12-31,617.5421,400.23383,70.07829,206.407,656.80597,160.9687,8.841833,47.645008,0.5066218,0.7341623,0.90777415,0.83969444,1276.6399,561.2001,78.94492,254.15565
1992-12-31,593.0626,370.32587,79.81539,219.02661,657.704,124.98506,10.652232,48.57006,0.5103636,0.75852895,0.9023527,0.8508405,1260.833,495.6689,90.4884,267.5154
1993-12-31,680.64325,403.9059,82.32968,208.41953,680.91113,153.39944,11.109174,52.29776,0.5290909,0.7390348,0.90417665,0.83774877,1367.7778,557.4215,93.43269,261.15112
1994-12-31,674.05597,393.43564,70.17044,193.56978,683.0311,165.86023,12.392595,50.299877,0.5379218,0.7292243,0.9000182,0.83397806,1364.7904,560.8063,82.56541,244.06023
1995-12-31,593.93304,377.94122,76.264946,195.67932,709.0819,149.80644,13.913407,45.703167,0.49319765,0.73634744,0.8831971,0.84574324,1311.7002,528.8754,90.19214,241.46849
1996-12-31,692.69495,422.24326,101.93797,268.3078,785.01,199.31601,20.618786,72.49215,0.48534483,0.69298095,0.8578089,0.80142397,1484.4651,622.4913,122.54867,341.06824
1997-12-31,653.1977,343.32196,59.868584,182.09966,715.94226,126.90379,11.948793,45.517227,0.5066724,0.7436044,0.87929875,0.8058095,1382.4989,470.78693,71.82343,228.06354
1998-12-31,619.93494,436.19824,92.88174,252.68697,826.052,190.53232,14.870595,76.6845,0.45986825,0.7159501,0.89998525,0.812081,1454.4263,627.6395,107.75896,329.80478
1999-12-31,652.37506,363.947,93.951614,232.03482,708.5274,125.16825,14.686895,56.612865,0.51236457,0.75432694,0.8827527,0.8083057,1367.8062,488.7987,108.62247,288.54706
2000-12-31,690.87213,402.02414,107.30055,248.81169,669.7235,138.20914,18.367231,56.123425,0.52816266,0.7641466,0.891774,0.8299272,1372.0387,540.2099,125.6611,304.82095
2001-12-31,646.7648,371.23785,91.5049,243.44528,684.79535,129.77171,15.118637,67.93643,0.5064175,0.7611342,0.8926167,0.7923217,1352.0754,501.47842,106.611595,310.90247
2002-12-31,732.55273,402.8741,132.74826,281.67798,729.8148,116.16801,26.532785,89.23368,0.53233564,0.7966463,0.8601934,0.7734955,1472.306,518.844,159.24403,370.8456
2003-12-31,590.8206,447.2124,130.95393,270.91754,655.1123,194.78351,23.325424,77.33465,0.49340776,0.71355355,0.87338334,0.7889565,1252.9839,642.04047,154.25786,347.61032
2004-12-31,707.4163,402.88406,108.719604,263.65347,558.66864,160.40205,17.763103,65.270996,0.5764315,0.7304078,0.88676053,0.8091694,1272.6777,563.9778,126.46939,328.91296
2005-12-31,700.7174,414.20987,122.15646,252.06393,664.78845,172.62088,27.455275,76.076035,0.5303074,0.72738713,0.8513645,0.7760548,1380.8193,588.12213,149.5875,327.87622
2006-12-31,685.31744,392.17346,95.65158,230.22522,646.1531,133.90955,23.01797,60.10909,0.5481592,0.76224446,0.83220536,0.799037,1344.6486,526.1868,118.64577,290.36044
2007-12-31,685.7365,407.42044,113.9144,269.076,618.1818,137.3297,21.619873,71.664085,0.5464482,0.7662611,0.87137973,0.800729,1314.6472,546.6887,135.50867,340.43692
2008-12-31,720.13934,427.40125,106.50991,271.1096,668.6411,136.16098,17.243282,69.83361,0.53937054,0.7712396,0.8822304,0.80103976,1404.2216,563.90967,123.76466,341.06927
2009-12-31,647.4779,415.6636,90.90844,241.41017,556.9453,149.97086,11.8581505,54.31349,0.55781054,0.7525039,0.9035036,0.8215131,1215.4683,565.9749,102.74104,295.62027
2010-12-31,710.7463,424.44946,130.27696,265.717,755.9545,169.59813,26.4851,71.33593,0.5192248,0.7347025,0.85741985,0.7999002,1475.4801,595.1008,156.72966,336.79495
2011-12-31,619.8824,414.75833,103.618675,260.79425,508.7595,155.91377,23.149479,75.0445,0.5759121,0.7379364,0.8514413,0.77899253,1138.5631,571.42896,126.80037,335.99844
2012-12-31,710.81134,434.52637,119.77426,265.4296,686.4496,175.31778,22.492826,73.95371,0.53986967,0.7297793,0.87329286,0.7991973,1409.1774,611.123,142.31969,339.8074
2013-12-31,664.6513,434.81116,115.0881,261.56223,632.21765,203.08788,22.136923,74.89307,0.54453003,0.70075446,0.8645431,0.78407514,1311.1196,638.2777,137.26492,337.07526
2014-12-31,665.393,399.41827,97.8056,252.17804,690.00006,164.04985,15.896413,57.67172,0.5214396,0.723573,0.8904202,0.82305723,1363.0424,562.6886,113.74101,310.72058
2015-12-31,747.0569,416.53568,117.21405,240.45348,720.61523,135.52757,25.10306,59.634583,0.53618985,0.7705545,0.8701181,0.8183034,1472.2462,552.05884,142.39238,300.2648
2016-12-31,696.7875,453.66083,128.79234,287.8313,868.4705,162.31516,26.215342,76.35237,0.4881121,0.75170565,0.8511995,0.79530925,1579.6042,615.7768,155.15137,365.4214
2017-12-31,648.4011,405.44604,112.99875,246.10307,747.46277,166.14862,24.558376,75.10145,0.49215102,0.7228926,0.853679,0.76752114,1402.7483,571.17346,137.62575,321.9194
2018-12-31,697.408,415.9983,123.87737,277.14136,609.19434,172.63147,24.987106,76.401115,0.5528468,0.7209635,0.8735187,0.7970738,1315.0336,588.9922,148.93025,354.4853
